"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"第14回　CoderDojo横浜 @ 神奈川県横浜市神奈川区鶴屋町2-24-2 https://t.co/l5MJU97YeM",FALSE,0,NA,2018-03-11 10:40:14,FALSE,NA,"972784256132009986",NA,"<a href=""https://script.google.com/macros/d/MgNbKX7nH5aQBxXgSbJixsBnQJJj_G6cf/usercallback"" rel=""nofollow"">bot_connpass_tokyo_event</a>","cp_tokyo_events",0,FALSE,FALSE,"139.6207177","35.4684632"
"RT @mjk_0513: CoderDojo は小学生向けのプログラミング道場と見られがちなんだけど、公式的には「7歳〜17歳の子どもたち向け」なので、もっと13歳以上の子たちも参加してくれるといいな。CoderDojoの真価はむしろその年代の子たちに刺さりそう。",FALSE,0,NA,2018-03-11 10:26:28,FALSE,NA,"972780792244944896",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","yu_san_19",9,TRUE,FALSE,NA,NA
"RT @mjk_0513: CoderDojo は小学生向けのプログラミング道場と見られがちなんだけど、公式的には「7歳〜17歳の子どもたち向け」なので、もっと13歳以上の子たちも参加してくれるといいな。CoderDojoの真価はむしろその年代の子たちに刺さりそう。",FALSE,0,NA,2018-03-11 10:22:01,FALSE,NA,"972779671472422913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","coderdojo_konan",9,TRUE,FALSE,NA,NA
"Happy Mother's Day to all the mums out there who encourage their ninjas to follow their dreams and are running and… https://t.co/bME0EG3Mxt",FALSE,3,NA,2018-03-11 10:20:52,TRUE,NA,"972779381994160128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DojoCon",1,FALSE,FALSE,NA,NA
"RT @CoderdojoF: It’s a sell out for tomorrow’s @CoderDojo #1 Exciting. :-) https://t.co/ytrufwSlgb",FALSE,0,NA,2018-03-11 10:20:45,FALSE,NA,"972779353921728512",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","teknoteacher",4,TRUE,FALSE,NA,NA
"「第14回　CoderDojo横浜」(04/07 14:00〜) が公開されました https://t.co/Nu4uSTOi4F #connpass",FALSE,0,NA,2018-03-11 10:17:21,FALSE,NA,"972778496131923968",NA,"<a href=""https://connpass.com"" rel=""nofollow"">connpass</a>","connpass_jp",0,FALSE,FALSE,NA,NA
"第14回　CoderDojo横浜 を公開しました！ https://t.co/tF1yN6aJa6 #coderdojoyokohama",FALSE,0,NA,2018-03-11 10:17:05,FALSE,NA,"972778428939223041",NA,"<a href=""https://connpass.com"" rel=""nofollow"">connpass</a>","CoderDojoYKHM",0,FALSE,FALSE,NA,NA
"【https://t.co/NdqpOP0kb3掲載】
年末年始に #泉北ニュータウン で取材して執筆した記事が @greenzjp で公開されました。
#CoderDojo 堺を運営する田重田さん、 #泉北吉本新喜劇 実行委員長… https://t.co/CP9AQb0GfZ",FALSE,2,NA,2018-03-11 10:17:01,TRUE,NA,"972778411721613312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","27_yuma",1,FALSE,FALSE,NA,NA
"03/17(土) [新着][人気上昇中][参加8人/定員16人]https://t.co/YsZ9BNPeZp【第23回コーダー道場札幌東 開催！】 #CoderDojoSapporoEast",FALSE,0,NA,2018-03-11 10:16:56,FALSE,NA,"972778392952094721",NA,"<a href=""http://upmeetup.appspot.com/"" rel=""nofollow"">upmeetup</a>","upmeetup",0,FALSE,FALSE,"141.385955","43.0561971"
"RT @designclub: Young designers prototyping apps using @marvelapp at @Telegraph @CoderDojo ������������ https://t.co/Pxxarteymv",FALSE,0,NA,2018-03-11 10:15:50,FALSE,NA,"972778115293474816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dansutch",1,TRUE,FALSE,NA,NA
"CoderDojo hoodie https://t.co/5hzJsb5o5C",FALSE,0,NA,2018-03-11 09:59:17,FALSE,NA,"972773951469445125",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tkc49",0,FALSE,FALSE,NA,NA
"RT @enrico_martines: Tutti gli eventi  Hewlett Packard Enterprise alla #MilanoDigitalWeek: #CoderDojo e #Safe2Web @HPE per portare ai ragaz…",FALSE,0,NA,2018-03-11 09:54:06,FALSE,NA,"972772645862338560",NA,"<a href=""http://www.robertore.it"" rel=""nofollow"">LORELEITRENDSHUNTER</a>","RobRe62",1,TRUE,FALSE,NA,NA
"RT @marcellinusb: look out for the robot snake made at @CoderBendigo today! #coderdojo @RoyalSocietyVic https://t.co/SdbDXlmVkX",FALSE,0,NA,2018-03-11 09:53:07,FALSE,NA,"972772396548505606",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rcrellin",3,TRUE,FALSE,NA,NA
"[新着] 2018/03/17（土） 第23回コーダー道場札幌東 開催！ https://t.co/vuY3t2SuU1",FALSE,0,NA,2018-03-11 09:45:22,FALSE,NA,"972770448239771648",NA,"<a href=""http://maraigue.hhiro.net/twbot/"" rel=""nofollow"">twbot2.rb</a>","atnd_hokkaido",0,FALSE,FALSE,NA,NA
"Tutti gli eventi  Hewlett Packard Enterprise alla #MilanoDigitalWeek: #CoderDojo e #Safe2Web @HPE per portare ai ra… https://t.co/zb0vIrFvIz",FALSE,2,NA,2018-03-11 09:44:38,TRUE,NA,"972770260863651840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","enrico_martines",1,FALSE,FALSE,NA,NA
"RT @CoderDojo: Our 2nd book is just one of the prizes young people can win by sharing what they're making at their local Dojo. Tell us abou…",FALSE,0,NA,2018-03-11 09:28:51,FALSE,NA,"972766290027995137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twifonso",7,TRUE,FALSE,NA,NA
"Our 2nd book is just one of the prizes young people can win by sharing what they're making at their local Dojo. Tel… https://t.co/kXutvIsuyP",FALSE,10,NA,2018-03-11 09:28:06,TRUE,NA,"972766100235673601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoderDojo",7,FALSE,FALSE,NA,NA
"Awesome work Faith! #CoderDojoGirls https://t.co/Pynkb9cjWv",FALSE,2,NA,2018-03-11 09:25:12,FALSE,NA,"972765371219546113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoderDojo",0,FALSE,FALSE,NA,NA
"CoderDojo Umeda@Cybozu, Inc. https://t.co/MFJJxmjFys",FALSE,1,NA,2018-03-11 09:24:46,FALSE,NA,"972765264126398464",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tkc49",0,FALSE,FALSE,NA,NA
"「第23回コーダー道場札幌東 開催！」(03/17 10:00〜) が公開されました https://t.co/sZUzC8r5yE #connpass",FALSE,0,NA,2018-03-11 09:24:38,FALSE,NA,"972765228483006464",NA,"<a href=""https://connpass.com"" rel=""nofollow"">connpass</a>","connpass_jp",0,FALSE,FALSE,NA,NA
"第23回コーダー道場札幌東 開催！ を公開しました！ https://t.co/JPWys3OnJo #CoderDojoSapporoEast",FALSE,1,NA,2018-03-11 09:24:23,FALSE,NA,"972765165035782144",NA,"<a href=""https://connpass.com"" rel=""nofollow"">connpass</a>","CoderDojoSappor",0,FALSE,FALSE,NA,NA
"Have young people in your Dojo a project they want to share with the international #CoderDojo community? Only 2 wee… https://t.co/MFX324Ti8j",FALSE,0,NA,2018-03-11 09:24:16,TRUE,NA,"972765136699224064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoderDojo",1,FALSE,FALSE,NA,NA
"@bpmurray @PrepaidFS @TheMillDrogheda Well done to all involved ������������",FALSE,0,"bpmurray",2018-03-11 09:22:34,FALSE,"972576214698340352","972764707588378626","14364743","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoderDojo",0,FALSE,FALSE,NA,NA
"Awesome seeing ninjas sharing their tech creations ������ https://t.co/qSZQYdk7CP",FALSE,2,NA,2018-03-11 09:21:09,FALSE,NA,"972764353417146369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoderDojo",0,FALSE,FALSE,NA,NA
